i,d,l,e,,,,,,,,,,,,,,,
0,4.45,8.95,-1.09,-2.36,1.83,0.21,9.68,-0.52,0.01,-1.67,1.09,0,5.13,0,0,0,idle,
1,4.35,8.9,-0.96,-2.15,0.07,1.79,9.61,-0.49,0.04,-1.61,0.95,0,5.15,0,0,0,idle,
2,4.32,8.91,-0.94,-2.69,0.64,0.89,9.64,-0.51,-0.05,-1.52,1.07,0,5.16,0,0,0,idle,
3,4.27,8.86,-1.05,-2.77,1.02,-0.34,9.7,-0.51,-0.06,-1.66,1.11,0,5.12,0,0,0,idle,
4,4.29,8.89,-1.01,-2.15,1.13,-1.5,9.68,-0.43,-0.02,-1.34,0.92,0,5.15,0,0,0,idle,
5,4.42,8.98,-1.09,-2.86,0.05,-1.43,9.65,-0.5,-0.06,-0.25,0.21,0,5.15,0,0,0,idle,
6,4.44,8.96,-1.12,-2.82,0.35,-1.47,9.64,-0.52,-0.02,-0.07,0.56,0,5.15,0,0,0,idle,
7,4.3,9,-0.97,-0.44,2.18,-2.13,9.58,-0.56,0.05,0.49,0.16,0,5.15,0,0,0,idle,
8,4.39,9.01,-1.04,-0.93,1.82,-2.21,9.57,-0.56,0.07,0.38,0.22,0,5.15,0,0,0,idle,
9,4.36,8.86,-1.05,-2.09,2.95,-1.98,9.67,-0.57,0,0.2,0.5,0,5.15,0,0,0,idle,
10,4.31,8.83,-1.06,-2.02,1.66,-1.63,9.64,-0.49,0.05,-0.05,0.15,0,5.15,0,0,0,idle,
11,4.34,8.82,-0.97,-1.59,0.79,-1.17,9.63,-0.53,0.03,-0.04,-0.21,0,5.1,0,0,0,idle,
12,4.44,8.97,-1.04,-2.13,1.09,-0.98,9.58,-0.57,-0.03,0.08,0.03,0,5.16,0,0,0,idle,
13,4.43,8.97,-1.08,-2.65,2.72,-1.63,9.56,-0.59,-0.11,-0.05,0.15,0,5.15,0,0,0,idle,
14,4.44,8.94,-1.07,-2.62,1.94,-1.47,9.65,-0.57,0.01,-0.55,0.36,0,5.13,0,0,0,idle,
15,4.46,8.95,-1.12,-2.23,1.38,-0.66,9.65,-0.56,-0.03,-0.85,0.87,0,5.15,0,0,0,idle,
16,4.3,8.84,-1.06,-2.69,2.94,-1.87,9.69,-0.56,0.05,-0.99,0.16,0,5.16,0,0,0,idle,
17,4.32,8.95,-1.15,-2.89,1.82,-1.31,9.69,-0.57,0.02,-1.69,0.73,0,5.15,0,0,0,idle,
18,4.28,8.9,-1.18,-2.92,0.02,-1.52,9.63,-0.51,-0.07,-1.42,0.79,0,5.11,0,0,0,idle,
19,4.35,8.95,-1.14,-1.98,-0.23,-2.13,9.64,-0.48,-0.08,-0.53,-0.05,0,5.15,0,0,0,idle,
20,4.31,8.9,-1.08,-2.18,1.41,-3.14,9.6,-0.49,-0.11,0.16,0.02,0,5.15,0,0,0,idle,
